,Piłkarz,Wiek,Narodowość,Pozycja,Poz,Wartość rynkowa,Klub pozyskujący/oddający państwo,Klub pozyskujący/oddający nazwa,Kwota odstępnego,Rodzaj transferu,Dotyczy klubu,Sezon
1886,Christoph SchösswendterC. Schösswendter,20,Austria,Środkowy obrońca,ŚOB,200 tys. €,Austria,Vöcklabruck,Bez odstępnego,Kupno,SK Rapid Wiedeń,2009/2010
1887,Lukas KönigshoferL. Königshofer,20,Austria,Bramkarz,BRK,150 tys. €,Austria,Austria Kärnten,Bez odstępnego,Kupno,SK Rapid Wiedeń,2009/2010
1888,Mario KonradM. Konrad,26,Austria,Środkowy napastnik,ŚNP,350 tys. €,Austria,SCR Altach,Bez odstępnego,Kupno,SK Rapid Wiedeń,2009/2010
1889,Milan JovanovicM. Jovanovic,25,Czarnogóra,Środkowy obrońca,ŚOB,400 tys. €,-,Bez klubu,-,Kupno,SK Rapid Wiedeń,2009/2010
1890,Erwin HofferE. Hoffer,22,Austria,Środkowy napastnik,ŚNP,"2,60 mln €",Włochy,SSC Napoli,"5,00 mln €",Sprzedaż,SK Rapid Wiedeń,2009/2010
1891,Stefan MaierhoferS. Maierhofer,27,Austria,Środkowy napastnik,ŚNP,"1,60 mln €",Anglia,Wolverhampton,"2,00 mln €",Sprzedaż,SK Rapid Wiedeń,2009/2010
1892,Georg HardingG. Harding,27,Austria,Środkowy obrońca,ŚOB,200 tys. €,Austria,FC Wacker,Bez odstępnego,Sprzedaż,SK Rapid Wiedeń,2009/2010
1893,Christopher FrankC. Frank,22,Austria,Środkowy napastnik,ŚNP,150 tys. €,Austria,FAC TfW,Bez odstępnego,Sprzedaż,SK Rapid Wiedeń,2009/2010
1894,Martin HidenM. Hiden,36,Austria,Środkowy obrońca,ŚOB,300 tys. €,Austria,Austria Kärnten,Bez odstępnego,Sprzedaż,SK Rapid Wiedeń,2009/2010
1895,Mario TokicM. Tokic,34,Chorwacja,Środkowy obrońca,ŚOB,"1,00 mln €",-,Bez klubu,-,Sprzedaż,SK Rapid Wiedeń,2009/2010
1896,Marcel KetelaerM. Ketelaer,31,Niemcy,Lewy pomocnik,LPM,425 tys. €,-,Bez klubu,-,Sprzedaż,SK Rapid Wiedeń,2009/2010
1897,Julian BaumgartlingerJ. Baumgartlinger,21,Austria,Defensywny pomocnik,DPM,350 tys. €,Niemcy,1860 München,200 tys. €,Kupno,FK Austria Wiedeń,2009/2010
1898,Roland LinzR. Linz,28,Austria,Środkowy napastnik,ŚNP,"1,50 mln €",Turcja,Gaziantepspor,Bez odstępnego,Kupno,FK Austria Wiedeń,2009/2010
1899,Manuel OrtlechnerM. Ortlechner,29,Austria,Środkowy obrońca,ŚOB,700 tys. €,Austria,Austria Kärnten,Bez odstępnego,Kupno,FK Austria Wiedeń,2009/2010
1900,Petr VorisekP. Vorisek,30,Czechy,Środkowy obrońca,ŚOB,900 tys. €,Czechy,Sparta Praga,Bez odstępnego,Kupno,FK Austria Wiedeń,2009/2010
1901,Florian KleinF. Klein,22,Austria,Prawy obrońca,POB,600 tys. €,Austria,LASK,Bez odstępnego,Kupno,FK Austria Wiedeń,2009/2010
1902,Zlatko JunuzovicZ. Junuzovic,21,Austria,Środkowy pomocnik,ŚPM,"1,00 mln €",Austria,Austria Kärnten,Bez odstępnego,Kupno,FK Austria Wiedeń,2009/2010
1903,Manuel WallnerM. Wallner,20,Austria,Środkowy obrońca,ŚOB,200 tys. €,Austria,Grödig,Bez odstępnego,Kupno,FK Austria Wiedeń,2009/2010
